dataset,method,latent_dim,train_limit,test_limit,epochs,batch_size,learning_rate,parameter_count,compression_ratio,device,train_seconds,explained_variance_ratio,mse,rmse,mae,psnr,ssim,mse_255,rmse_255,mae_255
fashion,pca,2,60000,10000,0,256,0.0,2352,392.0,mps,3.473985958000412,0.4679451584815979,0.04564465954899788,0.21364610819998076,0.14581938087940216,13.4061002785755,0.6896084845542908,2968.043987173587,54.47975759099509,37.18394212424755
fashion,pca,8,60000,10000,0,256,0.0,7056,98.0,mps,3.466465417004656,0.6932674050331116,0.02595062181353569,0.16109196694291025,0.09962713718414307,15.85852231381924,0.8239688725471497,1687.4391834251583,41.07845157044211,25.404919981956482
fashion,pca,16,60000,10000,0,256,0.0,13328,49.0,mps,3.7067652919940883,0.7652002573013306,0.01982216350734234,0.14079120536220413,0.08499240130186081,17.02848945813318,0.8657753810882568,1288.9361820649356,35.90175736736205,21.673062331974506
fashion,pca,32,60000,10000,0,256,0.0,25872,24.5,mps,3.930173459004436,0.8261371850967407,0.014494946226477623,0.1203949593067651,0.07091981917619705,18.387833914567835,0.9026230260848999,942.5338783767074,30.7007146232251,18.08455388993025
fashion,pca,64,60000,10000,0,256,0.0,50960,12.25,mps,4.228330499994627,0.8812047839164734,0.009839741513133049,0.09919547123298043,0.056313034147024155,20.07016310196144,0.9347495393753051,639.8291918914765,25.29484516441001,14.35982370749116
mnist,pca,2,60000,10000,0,256,0.0,2352,392.0,mps,2.9916450419987086,0.168006032705307,0.05547374114394188,0.23552864187597627,0.12861418724060059,12.559125443540477,0.569627663898468,3607.1800178848207,60.05980367837395,32.79661774635315
mnist,pca,8,60000,10000,0,256,0.0,7056,98.0,mps,3.013223416994151,0.4369587004184723,0.036411695182323456,0.19081848752760686,0.0968160405755043,14.38759101588133,0.7339834199905395,2367.6704792305827,48.65871431953975,24.688090346753597
mnist,pca,16,60000,10000,0,256,0.0,13328,49.0,mps,3.2056094579966157,0.5941624641418457,0.02537977509200573,0.159310310689565,0.077030710875988,15.955122308123793,0.8234838405609131,1650.3198753576726,40.62412922583908,19.64283127337694
mnist,pca,32,60000,10000,0,256,0.0,25872,24.5,mps,3.115282250000746,0.7435919046401978,0.015206990763545036,0.12331662809023379,0.05688614398241043,18.179567178395782,0.8971659523010254,988.834574399516,31.445740163009617,14.50596671551466
mnist,pca,64,60000,10000,0,256,0.0,50960,12.25,mps,3.4359550420049345,0.8619276881217957,0.007752858567982912,0.08805031838660728,0.03884465992450714,21.105381386030245,0.9485821368217469,504.12962838308886,22.452831188584856,9.905388280749321
