,,mse,mse,mse,mse,psnr,psnr,psnr,psnr,ssim,ssim,ssim,ssim
method,,ae,dae,pca,vae,ae,dae,pca,vae,ae,dae,pca,vae
dataset,latent_dim,,,,,,,,,,,,
fashion,8,,,0.02631874568760395,,,,15.797348123959527,,,,0.8226052570343018,
fashion,16,0.031661275774240494,0.03491457924246788,0.020003454759716988,,14.994715894562958,14.569931872983329,16.98894991660532,,0.7857737884521484,0.783610586643219,0.8650802302360535,
fashion,32,0.028882648795843124,0.034413084387779236,0.014648237265646458,0.029331665486097336,15.39362980608363,14.632764005391765,18.34214634140107,15.32663276573279,0.8034112830162048,0.7886085209846496,0.9019436650276184,0.8186281728744507
fashion,64,0.03049737960100174,0.03578054904937744,0.00997493788599968,0.03318324685096741,15.157374745454986,14.463529995068958,20.01089799987237,14.790811222154982,0.7905069813728333,0.7831794257164002,0.9338486866950989,0.8064994735717773
mnist,8,0.04464718699455261,,0.03695911541581154,0.03435581177473068,13.50205898729039,,14.32278431787136,14.639997852944902,0.6759871225357056,,0.7318186330795288,0.7564755325317383
mnist,16,0.04476132616400719,,0.02582539990544319,0.03281806409358978,13.490970549145,,15.87952944720924,14.838870411460753,0.672806058883667,,0.8212654557228088,0.7701655445098877
mnist,32,0.04359884560108185,0.06889098137617111,0.015584729611873627,0.03303981572389603,13.60525009715756,11.61837628526702,18.073007281378576,14.809623835767848,0.6904572920799256,0.5153661241531372,0.8953856415748597,0.7716442103385925
mnist,64,0.049691714346408844,0.07018718868494034,0.007957132533192635,,13.037160199913911,11.537421527020344,20.99243408313825,,0.6193432598114014,0.4753536639213562,0.9476214218139648,
