dataset,method,latent_dim,train_limit,test_limit,epochs,batch_size,learning_rate,parameter_count,compression_ratio,device,train_seconds,explained_variance_ratio,mse,rmse,mae,psnr,ssim,mse_255,rmse_255,mae_255
fashion,ae,8,10000,2000,5,256,0.001,470552,98.0,mps,4.213296667003306,,,,,,,,,
fashion,dae,8,10000,2000,5,256,0.001,470552,98.0,mps,4.559717750002164,,,,,,,,,
fashion,pca,8,10000,2000,0,256,0.0,7056,98.0,mps,0.5262517500013928,0.6917344927787781,0.02631874568760395,0.16223053253812597,0.10044121742248535,15.797348123959527,0.8226052570343018,1711.3764383364469,41.368785797222124,25.612510442733765
fashion,vae,8,10000,2000,5,256,0.001,638400,98.0,mps,4.6435810000039055,,,,,,,,,
fashion,ae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.8185633340035565,,0.031661275774240494,0.17793615645573693,0.10550101846456528,14.994715894562958,0.7857737884521484,2058.774457219988,45.37371989621292,26.902759708464146
fashion,dae,16,10000,2000,5,256,0.001,472608,49.0,mps,4.677538916999765,,0.03491457924246788,0.18685443329626375,0.11184301227331161,14.569931872983329,0.783610586643219,2270.320515241474,47.64788049054726,28.519968129694462
fashion,pca,16,10000,2000,0,256,0.0,13328,49.0,mps,0.5612320000000182,0.7644132375717163,0.020003454759716988,0.14143357012999774,0.08547067642211914,16.98894991660532,0.8650802302360535,1300.7246457505971,36.065560383149425,21.79502248764038
fashion,vae,16,10000,2000,5,256,0.001,648016,49.0,mps,4.787747082998976,,,,,,,,,
fashion,ae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.771137791998626,,0.028882648795843124,0.1699489593844079,0.10036264359951019,15.39362980608363,0.8034112830162048,1878.0942379496992,43.33698464302402,25.5924741178751
fashion,dae,32,10000,2000,5,256,0.001,476720,24.5,mps,4.8442292920008185,,0.034413084387779236,0.18550763970192505,0.11137263476848602,14.632764005391765,0.7886085209846496,2237.710812315345,47.30444812399089,28.400021865963936
fashion,pca,32,10000,2000,0,256,0.0,25872,24.5,mps,0.6649354999972275,0.8259869813919067,0.014648237265646458,0.12102990236155055,0.07137111574411392,18.34214634140107,0.9019436650276184,952.5016281986609,30.86262510219539,18.19963451474905
